authorChannelId,author_name,number_of_videos,number_of_comments,category
UCYpW4V-z3VF97JNgXBc8oqw,righthandstep5,15,33,
UCWil34Irypxxtl97IDX9zbQ,George Applegate,15,76,
UC8qZdEv3R_7q3knqIYhOtUQ,Ken Marriott,15,26,
UCD1f98flC-iGfL5b1Jy3JTQ,Warren Peece,15,16,
UC95vjQ1yeJ4X8rWfoYTc8tg,Theeraphat Sunthornwit,15,42,
UCLWIa6c0krklRTq4VYQxxEQ,Christopher allen sutton,15,49,
UCfgnvY8bNlFUN2sXvhNehyg,Les Schorlemer,15,78,
UCAEKdMHOWz0i5-rEa_fF8Aw,Drew Drewman,15,40,
UCiYlEf7SC0Mqq5yBZEa217g,Mike N,15,17,
UC-ylP_ppC9Znx5O3xJ4LodQ,Tina Clark aka Aunt Tina,15,39,
UCK7GySMThI6Hohtx__UYl5g,Francis Mausley,15,20,
UC2uWMuKyyNQ7PI615brcMDw,ExerciseMachina,15,21,
UCo7AJs3bzP4rapONqTDYzbg,shiva koliar,15,80,
UCFigH8Nyi-QLJksIo2tLjuQ,spex357,15,46,
UCQz_UQjQIhWlP-usnvuQRnA,Ken Van de Burgt,15,45,
UCzh2UsBAdG27V13OYZ4xLeA,Byron Allen,15,32,
UCfwjd5aIKlgyw1CrS26geSA,Mickeyislowd,15,24,
UCW9WD2bJmAvf5Eyly_CqVVw,The Falconry Brother,14,15,
UCRg-VhuaYVCpoe7nrB-xrGw,Brooks Anderson,14,47,
UCpgJ2pPUrxklN3-TvAXZjaA,Max Tabmann,14,37,
UCOwH74qcARVFv1YnNykPeWQ,Simon Ruszczak,14,36,
UC3Zy57El6_5ISgf68m8whAg,waynebow 2018,14,50,
UCH8wfx6W4ctGVRsC1AHU6Tg,MrRobtwothirds,14,22,
UCmhbJ8eVQAjOotX3QoQQ5Kw,John Smith,14,52,
UCNFM6Qdz6h5gM76MpdR5a9Q,Ronald Garrison,14,30,
UCfZxaiURlU2BzZ8sDrpDQHw,EdP IV,14,25,
UCYXPJscuMCfyysXvbOkck5Q,Fireball Xl5,14,15,
UCbPjUfYtRMp2zceekFumqdw,Alva Goldbook,14,25,
UCYUQBu3Ef5qgWksKOA0iPjg,Tom Kelly,14,26,
UChWj38b1fdC4O51gKzsOgqg,Martin Hearn,14,75,
UCLOm0rnORvOUYMMZbsVizjA,David Foster,14,107,
UCNhaiLE0lecWUSgqpvSqAPQ,Edmonton Rails,14,94,
UC2w7MEK0MPtKNpxYHrW9W4A,Niko Laus,14,33,
UCLJ448Ea-Z9Q2X5mtQPI54Q,konroth rec.,14,16,
UCbuWldlPVfZnif_gv3kNu7g,ufewl,14,51,
UCPZg5rOiD0ojbgf-FwmTKXg,simon6071,14,225,
UCF6yTL7Q32JD9XY6t0RPlFQ,Tom Mallard,14,20,
UCmJ7BMNfNFH6QV7yHUVynDA,gerald frost,14,104,
UC40hKDUsjLiy_L3RxnvZEIQ,Decimus Rex,14,50,
UCjW4EAmDcoPrHBuo0E6dl5w,Richard Pauli,14,14,
UCK1KSZIkIv0MdaHTUxMry0w,no taboos,14,20,
UCh-q4vuBUZuNFar-fxfuQcA,Pip Santos,14,33,
UCtDtdGF7vRh355GvECwFIIg,Dave -in-NJ,14,46,
UCsHu4VALUmKB3c2XsgdFKxA,Don Elliott,14,17,
UCIHQQ1mJkGjPNxCzuz_lfaw,Lightning Rod,14,25,
UCTnfPHhtK2qTp0OjDl0wNtg,Cheburushka,14,15,
UC0jDJqdKsB-slq_NVEDRSbA,Bruce Frykman,14,876,
UCpzMTCYoh5MTC5YbaddH24w,Islamisthecultofsin,14,55,
UCcY6GczEv8jUOrDZVVtrkwA,Jh5578,13,27,
UC5HgwznWq0DguPYeH6cR2Kw,James Pyke,13,184,
UCJRirO-r6s4oz4YsdSQk6cA,Steve Koschella,13,13,
UCsgSvuMUNtbpXbU2mN-ChRA,Sucker Free,13,30,
UCfZvLlpHqkWUyfnWaf77Y1A,tod jones,13,27,
UCozgyipfue_cPlOicBixKYw,Dutch Flats,13,44,
UCcrROA3wjSQIyk1oLZC1FRQ,Bill Andrews,13,29,
UCKy_12eLV7n7Flg6ZqIZh6g,John King,13,23,
UCJSOFys-r8cYWE_b_FJwTFw,Rich Diana,13,17,
UCxAqn57F8851p8vQxmE0waw,Kash,13,46,
UCqG5DHLZcg-s-KvRZyXk8uA,Burgess Park,13,192,
UCMICD7vL2dXCNc_BUiES5AA,Estoy Hasta LaMadre,13,22,
UCqB5nhLL31lVG3JeGbKxQDA,Magnús Örn,13,207,
UCcf982p4ZDQIfcvOzQRe_yQ,bruce baker,13,21,
UC9nPUN2iDgi58BiwFO8gMVA,rugbyguy59,13,141,
UC5GakB9f_cGtQ0pYtGF77AQ,Z O,13,24,
UCnpBxQ2lBArsw_6PyJUa9dg,James West,13,23,
UCYnwmslj2knI9iAiXM4UOgg,Desertphile,13,25,
UCJTc2bg1N2M5kVBmhXYOfZg,The Generalist,13,58,
UCbEDNqVzwrvhSogMHiH7eDQ,Otopon,13,45,
UCzjmmNyVJUy2kVvXGoy1EjQ,Tod Jones,13,28,
UC6UHrjMzcplMFsl0PsAwWhw,-4*,13,69,
