,id,threadId,published_at,author_name,text,likeCount,is_reply,cleaned,video_id,video_published_at
1473,UgywwVhUebyWgjKN9w54AaABAg,UgywwVhUebyWgjKN9w54AaABAg,2019-09-10T14:09:31Z,Raymond Ready,Funny how it's all about $$$$ and not our planet,0.0,0.0,,cVkAsPizAbU,
1474,Ugy4C7oZILPL4kY-lkF4AaABAg,Ugy4C7oZILPL4kY-lkF4AaABAg,2019-09-10T12:29:19Z,Jesse H,"It always was fraud. Just like Obamacare, pass it before you read it.",1.0,0.0,,cVkAsPizAbU,
1475,Ugwsbr8XRt4yEOxn97p4AaABAg,Ugwsbr8XRt4yEOxn97p4AaABAg,2019-09-10T11:24:05Z,abhvgas,"so co2 is bad??? but my weed guy pumps it in his room because the plants love it, and grow bigger faster and healthier.....hmmmm yea so how is this a bad thing?  its almost like plants  evolved when co2 was much higher then now.  so are we in a co2 drought?",0.0,0.0,,cVkAsPizAbU,
1476,UgzuUHDxM0ThZCgz5i54AaABAg,UgzuUHDxM0ThZCgz5i54AaABAg,2019-09-10T10:25:04Z,Donald Ronk,"Hey, where's Pelosi on we have to pass it to see what's in it?? Oh, I guess they forgot about reading it.",0.0,0.0,,cVkAsPizAbU,
1477,UgwixX537T-4dQ2YhEV4AaABAg,UgwixX537T-4dQ2YhEV4AaABAg,2019-09-10T08:44:48Z,Lucky Eddy,What the fuck ?? Is this guy joking?  You need a brain check.,0.0,0.0,,cVkAsPizAbU,
1478,UgwixX537T-4dQ2YhEV4AaABAg,UgwixX537T-4dQ2YhEV4AaABAg,2019-09-10T17:46:53Z,Super Bird,President Trump saves America.,0.0,1.0,,cVkAsPizAbU,
1479,UgwbtDa0rg2f0lIRUnh4AaABAg,UgwbtDa0rg2f0lIRUnh4AaABAg,2019-09-10T06:12:03Z,felipe gonzalez,"polution is a lechuga plantations 😁🖕
viva la vida loca",0.0,0.0,,cVkAsPizAbU,
1480,UgwhTnOAkEWR8LFhhrh4AaABAg,UgwhTnOAkEWR8LFhhrh4AaABAg,2019-09-10T05:58:21Z,amerocker,"What should have been _rejected_ was the junior senator from Killinois.  Barry Soetoro is a pathologically lying, corksucking, communist, Kenyan Muslim.",0.0,0.0,,cVkAsPizAbU,
1481,UgxYfseTSIiBLgSNIUp4AaABAg,UgxYfseTSIiBLgSNIUp4AaABAg,2019-09-10T02:52:18Z,Edward Foehring,One big ass mistake a,0.0,0.0,,cVkAsPizAbU,
1482,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2019-09-10T02:22:25Z,Rob J,"The world: “WE COMMIT TO DOING LITTLE OR NOTHING DIFFERENTLY TO SAVE THE PLANET.”
Obama: “I APPLAUD THE WORLD.”",195.0,0.0,,cVkAsPizAbU,
1483,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2021-01-26T01:18:11Z,Angel Cilia,"@CarbonGlassMan sheesh he really didnt want to hear anything you were saying. It was never a debate to him either it seems. He just wanted to seem to win. I especially liked it when he tried to tell you that you were going nowhere with your argument and tried to end it there again ""appearing"" as if he had proved a point. All while just rambling on leftist and democratic talking points. It was difficult reading any of his statements to say the least. Logic and reason dont have a team to side with it seems.",0.0,1.0,,cVkAsPizAbU,
1484,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2020-03-06T10:17:17Z,benm mbk,"@Gradivus. Please try to understand how the economy works. WE all need lessons on basic economics. What money is, how it is invested, how it grows  etc etc etc. Please read Atlas Shrugged for details. A classic book on human beings. Why, how, where, when etc of intelligence, intellect.",0.0,1.0,,cVkAsPizAbU,
1485,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2020-02-21T20:10:13Z,CarbonGlassMan,@Gradivus. trickle down is not a real thing.  You using the fake term just proves to me that you know nothing and have read nothing about economics. What you do know is democrat talking points and leftist bumper sticker slogans.  It does create more revenue. It has every single time it's been done. All you have to do it look it up. And I doubt you care about the poor. You just like appearing to care about the poor.,1.0,1.0,,cVkAsPizAbU,
1486,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2020-02-21T17:25:55Z,Gradivus.,"@CarbonGlassMan This debunked trickle-down logic doesn't become true the more you repeat it. Tax cuts do not always create higher revenues in the long run, it is a curve and the previously existing tax rates were not too high. Have fun relying on charity to combat poverty, I'll stick with redistributive methods because they are actually reliable. Goodbye.",0.0,1.0,,cVkAsPizAbU,
1487,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2020-02-21T16:57:15Z,CarbonGlassMan,"@Gradivus. charities have always helped the poor. The nice thing about charity is that people dont stay dependent on the charity forever. 

Income inequality or wealth gaps mean nothing. They harm no one. If Bill Gates doubled his money, that did not hurt you. In fact, it may help you. These tax cuts have more people working than ever before, so the poor are buying more than they did 5 years ago. I don't think you understand economics very well. 

Raising taxes on the rich just gets the rich to stop spending money on things like their businesses and creating jobs. High tax rates aren't even paid. They find tax shelters or move their money off shore. When upper income taxes were 90%, no one paid that. Again, it's a fact that when taxes are lowered, the IRS collects more money. So if your co CERN is government having more money because you think government people are smarter than non government people and somehow know better how to spend your money than you do, the. tax cuts allow the government to spend more of your money.",1.0,1.0,,cVkAsPizAbU,
